Package Name                                                            | Version      | ID  | Bundle Name
org.dom4j.io                                                            | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.dom4j.jaxb                                                          | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.dom4j.rule.pattern                                                  | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.dom4j.rule                                                          | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.dom4j.swing                                                         | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.dom4j.tree                                                          | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.dom4j.util                                                          | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.dom4j.xpath                                                         | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.dom4j.xpp                                                           | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.dom4j                                                               | 0.0.0        | 105 | wrap_file__E___DEV__maven_repository_org_dom4j_dom4j_2.1.1_dom4j-2.1.1.jar
org.eclipse.equinox.region.management                                   | 4.2.7        | 11  | org.apache.karaf.features.core
org.eclipse.equinox.region                                              | 1.1.0        | 11  | org.apache.karaf.features.core
org.eclipse.jdt.core.compiler                                           | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.core                                                    | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.antadapter                                     | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.apt.dispatch                          | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.apt.model                             | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.apt.util                              | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.ast                                   | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.batch                                 | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.classfmt                              | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.codegen                               | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.env                                   | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
org.eclipse.jdt.internal.compiler.flow                                  | 0.0.0        | 124 | org.eclipse.jdt.core.compiler.batch
